NUM BOARDS,10,,,,,,
Qty,QTY Josh,QTY Order,To Order,Reference(s),Value,LibPart,MPN
5,100,0,0,"C1, C2, C4, C10, C18",10u,Device:C,JMK107ABJ106MA-T
18,500,0,0,"C3, C7, C8, C11, C16, C19, C21, C22, C24, C26, C30, C31, C32, C33, C34, C35, C36",100n,Device:C,CL10B104KB8NNNC
2,0,20,50,"C5, C6",1u,Device:C,CL10A105MP8NNNC
1,0,10,50,C28,4u7,Device:C,CL10A475KQ8NNNC
1,50,0,0,D1,ORG,Device:LED,LTST-C190KFKT
1,1,9,10,D2,MBR120,Device:D_Schottky,MBR120VLSFT1G
2,50,0,0,"D3, D8",GRN,Device:LED,150060VS75000
1,4,6,10,D4,CDBU0520,Device:D,CDBU0520
37,200,170,0,D5,BLU,Device:LED,EAST16084BA8
1,99,0,0,D6,LED_RGBA,josh-led:LED_RGBA,LTST-C19HE1WT
1,100,0,0,D7,RED,Device:LED,SML-D12U1WT86
1,20,0,0,F1,500mA,Device:Polyfuse,0ZCK0050FF2E
3,50,0,0,"FB1, FB2, FB3",600R,josh-passive:Ferrite_Bead_PWR,BLM18TG601TN1D
1,20,0,0,J1,USB_B_Micro,Connector:USB_B_Micro,Josh
1,20,0,0,J2,JST_PH,Connector:Conn_01x02_Male,S2B-PH-SM4-TB(LF)(SN)
1,1,9,20,Q1,DMP2045U,Device:Q_PMOS_GSD,DMP2045U-7
2,0,20,20,"R1, R4",100K,Device:R,RMCF0603JG100K
3,1000,0,0,"R3, R5, R14",10K,Device:R,RMCF0603JT10K0
1,50,0,0,R6,100R,Device:R,RMCF0603JT100R
1,50,0,0,R13,2K2,Device:R,RMCF0603JT2K20
1,20,0,0,R15,12K,Device:R,MCR03ERTJ123
5,0,50,50,"RN1, RN2",10K,Device:R_Pack04,RP104PJ103CS
6,0,60,50,RN3,330R,Device:R_Pack04,RAVF104DJT330R
2,0,20,50,"RN4, RN5",2K2,josh-passive:RN,YC124-JR-072K2L
1,0,10,11,U1,MCP73831-2-OT,josh-power:MCP73831-2-OT,MCP73831T-2ACI/OT
1,0,10,11,U2,W25Q32JVZP,josh-memory:W25Q32JVZP,W25Q32JVZPIQ
1,30,0,0,U3,AP2112K-3.3,Regulator_Linear:AP2112K-3.3,AP2112K-3.3TRG1
1,0,10,10,U4,ICE40UP5K-SG48ITR,josh-ic:ICE40UP5K-SG48ITR,ICE40UP5K-SG48I
1,0,10,10,U5,NCV8114ASN120T1G,Regulator_Linear:NCV8114ASN120T1G,NCV8114ASN120T1G
1,2,8,10,U6,93C46B,josh-memory:93C46B,93C46BT-I/OT
1,0,10,10,U7,FT2232H,josh-ic:FT2232H,FT2232HQ-REEL
1,1,9,10,X1,DSC6101CI1A,josh-oscillator:DSC6101CI1A,DSC6101CI1A-012.0000T
1,10,0,0,,SW_DIP_x08,Switch:SW_DIP_x08,78B08T
1,40,0,0,,SW_SPDT,Switch:SW_SPDT,PCM12SMTR
1,0,10,10,,LTD-5623Ax,josh-led:LTD-5623Ax,LTD-6910HR
1,8,2,10,,74LVC2G17,josh-logic:74LVC2G17,SN74LVC2G17DCKR
1,50,0,0,,LED_RGBA,josh-led:LED_RGBA,Josh
4,50,0,0,,SW_Push,Switch:SW_Push,Josh
1,9,1,10,,CD74HC4050,josh-logic:CD74HC4050,CD74HC4050PWR
